visit,rows,knees_with_pain_flag,mean_womac_pain,mean_womac_function,mean_bmi
0,2004,2004,5.058401639344262,16.00204708290686,26.167517875383044
1,2004,1649,4.981412639405204,16.302615193026153,26.359801488833746
2,2004,1888,4.678260869565217,15.136069114470843,26.025081788440566
3,2004,1693,4.823741007194244,16.07372175980975,26.180637544273907
4,2004,1660,4.854934601664685,16.06563245823389,26.32977461447212
5,2004,1781,4.717149220489977,16.25609756097561,26.296582138919515
6,2004,1636,4.841536614645858,16.492805755395683,26.414285714285715
7,2004,1624,4.649038461538462,16.122448979591837,26.431137724550897
8,2004,1700,4.24245939675174,15.353418308227115,26.427745664739884
