"model","threshold","n","events_by_horizon","net_benefit_model","net_benefit_treat_all","net_benefit_treat_none"
"E_dynamic_clinical_imaging",0.02,2390,273,0.0977371701818803,0.0961489198189736,0
"E_dynamic_clinical_imaging",0.04,2390,273,0.0813458856345886,0.0773186889818689,0
"E_dynamic_clinical_imaging",0.06,2390,273,0.0720911599750735,0.057687171726164,0
"E_dynamic_clinical_imaging",0.08,2390,273,0.0644897216663635,0.0372021102419502,0
"E_dynamic_clinical_imaging",0.1,2390,273,0.0551371455137145,0.0158066015806601,0
"E_dynamic_clinical_imaging",0.12,2390,273,0.0509699505515405,-0.00656143020159758,0
"E_dynamic_clinical_imaging",0.14,2390,273,0.0450617884596672,-0.0299698355551231,0
"E_dynamic_clinical_imaging",0.16,2390,273,0.0419207013349273,-0.0544929268778641,0
"E_dynamic_clinical_imaging",0.18,2390,273,0.0373915705684254,-0.080212266557812,0
"E_dynamic_clinical_imaging",0.2,2390,273,0.0351464435146444,-0.107217573221757,0
"E_dynamic_clinical_imaging",0.22,2390,273,0.0309301577084004,-0.135607767406931,0
"E_dynamic_clinical_imaging",0.24,2390,273,0.0297071129707113,-0.165492182338692,0
"E_dynamic_clinical_imaging",0.26,2390,273,0.0252516114440801,-0.196991971050548,0
"E_dynamic_clinical_imaging",0.28,2390,273,0.0203393770339377,-0.230241748024175,0
"E_dynamic_clinical_imaging",0.3,2390,273,0.0167961745367603,-0.265391512253437,0
