"subgroup","n_knees","n_patients","total_events","events_by_24m","c_index","auc_24m","observed_km_24m_risk","original_mean_predicted_24m_risk","calibration_slope","calibration_slope_p_value"
"All MRKR core",3412,2179,1140,855,0.681142533646572,0.708841345184358,0.279831457357236,0.0441181958494664,0.681400186474898,2.20127817957987e-88
"OA enriched: baseline KL>=2",2670,1841,1043,789,0.633944182521648,0.659509635221522,0.327712498824669,0.0535705339643903,0.591322664015413,1.45417325013966e-41
"OA enriched: knee OA ICD before landmark",3225,2063,1131,847,0.664671405253496,0.689501615564823,0.292492033338893,0.0457478547873368,0.622852690624032,1.71161949270643e-70
"OA enriched: KL>=2 or OA ICD",3297,2119,1140,855,0.668553271627528,0.693863946079334,0.289587119655382,0.0454426727137513,0.638792390450555,4.20569589264429e-74
"Pain-present at landmark",1969,1424,750,629,0.633234400431341,0.64979522238329,0.357163195118859,0.0566348358662099,0.547223153391275,1.58080788488889e-32
"High-quality landmark/pain window",2267,1490,786,598,0.665765828884681,0.693788448541771,0.292097866877523,0.0448481257463937,0.635036010999822,9.03238664977456e-52
"Female",2396,1513,776,574,0.675688100983819,0.705395988322818,0.265891286086733,0.0436384164368533,0.651908583468718,1.04307095674019e-55
"Male",1016,666,364,281,0.691227109747842,0.714967184677838,0.313749621730848,0.0452496441492904,0.73810731050044,1.38328432647515e-34
"Age <60 years",1143,723,305,214,0.717448066489056,0.741201810747664,0.209422061090392,0.0373018030980951,0.783879304516491,4.47951820467189e-35
"Age 60-69 years",1124,717,450,339,0.664183122773118,0.694972830305853,0.331097528506298,0.0451039893775317,0.649518354480775,3.25895529155017e-30
"Age >=70 years",1145,739,385,302,0.657703098675357,0.675641601576652,0.299803705820447,0.0499549687658612,0.582874604972655,1.31288405903762e-21
"Baseline KL 0-1",742,568,97,66,0.644749994683,0.645355251544572,0.10459562008341,0.0101050654359263,0.817466518362303,2.65158845661174e-08
"Baseline KL 2",1227,977,339,232,0.635896110094662,0.673382453628781,0.220517133615598,0.0307183563332427,0.761314607319654,9.21146100547886e-17
"Baseline KL 3-4",1443,1092,704,557,0.553283652752415,0.570523097511047,0.415873783101296,0.0730020114095865,0.34563784118634,9.66165048502777e-07
"Race: Caucasian or White",1830,1189,665,493,0.681670652872817,0.7275432886609,0.298981416500666,0.0418700857764618,0.67892938522674,3.58764765628251e-54
"Race: African American or Black",1334,833,397,302,0.681385729642493,0.689397075055188,0.251999718930648,0.0464269925021755,0.699552631568046,2.15477292543684e-31
"Race: Asian",138,83,46,34,0.694684472374967,0.660322952710496,0.297735243812139,0.0449270024033918,0.77835156474259,4.19479890204992e-05
"Race: Unknown",85,57,23,17,0.700436681222707,0.71875,0.261904965234841,0.0539697729333112,0.933772849007741,0.000671952490676945
