Cohort,Characteristic,Included,Excluded,Included non-missing,Excluded non-missing,SMD
OAI,"Knees, n",3104,5210,3104,5210,
OAI,"Participants, n",1656,2690,1656,2690,
OAI,"Age, years",62.8 (9.3),60.2 (8.9),3104,5210,0.280
OAI,"Baseline pain score, 0-10",1.5 (1.8),0.9 (1.4),3104,5210,0.379
OAI,"24-month pain score, 0-10",1.4 (1.7),0.8 (1.3),3104,5210,0.398
OAI,0-24 month pain change,-0.1 (1.6),-0.1 (1.3),3104,5210,0.009
OAI,Baseline KL grade,2.0 (1.1),1.7 (1.2),3104,298,0.257
OAI,24-month KL grade,2.1 (1.2),0.8 (1.0),3104,4910,1.193
OAI,0-24 month KL change,0.1 (0.4),NA (NA),3104,0,
OAI,"Baseline-to-landmark interval, months",24.0 (0.0),24.0 (0.0),3104,5210,0.000
OAI,"Post-landmark follow-up, months",92.4 (56.7),137.1 (42.5),3104,5210,0.892
OAI,Female,1835 (59.1%),2993 (57.4%),3104,5210,0.034
OAI,Right knee,1542 (49.7%),2605 (50.0%),3104,5210,0.006
OAI,Post-landmark KR/TKA event,566 (18.2%),265 (5.1%),3104,5210,0.410
OAI,"Race, overall SMD",,,3104,5210,0.261
OAI,  Race: .: Missing Form/Incomplete Workbook,2 (0.1%),6 (0.1%),3104,5210,
OAI,  Race: 0: Other Non-white,61 (2.0%),60 (1.2%),3104,5210,
OAI,  Race: 1: White or Caucasian,2392 (77.1%),4383 (84.1%),3104,5210,
OAI,  Race: 2: Black or African American,626 (20.2%),709 (13.6%),3104,5210,
OAI,  Race: 3: Asian,23 (0.7%),52 (1.0%),3104,5210,
OAI,"Ethnicity, overall SMD",,,3104,5210,0.029
OAI,  Ethnicity: .: Missing Form/Incomplete Workbook,0 (0.0%),2 (0.0%),3104,5210,
OAI,  Ethnicity: 0: No,3070 (98.9%),5155 (98.9%),3104,5210,
OAI,  Ethnicity: 1: Yes,34 (1.1%),53 (1.0%),3104,5210,
MRKR,"Knees, n",3412,5703,3412,5703,
MRKR,"Participants, n",2179,3416,2179,3416,
MRKR,"Age, years",63.9 (11.8),60.0 (14.1),3412,5703,0.300
MRKR,"Baseline pain score, 0-10",3.4 (3.4),3.4 (3.4),2387,3495,0.014
MRKR,"24-month pain score, 0-10",3.4 (3.4),3.4 (3.4),3412,2955,0.001
MRKR,0-24 month pain change,0.3 (3.9),-0.1 (3.9),2387,2266,0.097
MRKR,Baseline KL grade,2.2 (1.2),1.8 (1.2),3412,5703,0.354
MRKR,24-month KL grade,2.4 (1.2),1.9 (1.3),3412,5703,0.382
MRKR,0-24 month KL change,0.2 (1.0),0.1 (1.2),3412,5703,0.029
MRKR,"Baseline-to-landmark interval, months",25.8 (4.9),25.8 (5.1),3412,5703,0.005
MRKR,"Post-landmark follow-up, months",30.1 (30.4),11.1 (28.6),3412,5703,0.645
MRKR,Female,2396 (70.2%),3630 (63.7%),3412,5703,0.140
MRKR,Right knee,1684 (49.4%),2805 (49.2%),3412,5703,0.003
MRKR,Post-landmark hardware-defined KR/TKA event,1140 (33.4%),253 (4.4%),3412,5703,0.740
MRKR,"Race, overall SMD",,,3412,5703,0.211
MRKR,  Race: African American or Black,1334 (39.1%),2017 (35.4%),3412,5703,
MRKR,  Race: American Indian or Alaskan Native,5 (0.1%),15 (0.3%),3412,5703,
MRKR,  Race: Asian,138 (4.0%),257 (4.5%),3412,5703,
MRKR,  Race: Caucasian or White,1830 (53.6%),3011 (52.8%),3412,5703,
MRKR,  Race: Multiple,14 (0.4%),33 (0.6%),3412,5703,
MRKR,  Race: Native Hawaiian or Other Pacific Islander,6 (0.2%),5 (0.1%),3412,5703,
MRKR,  Race: Unknown,85 (2.5%),365 (6.4%),3412,5703,
MRKR,"Ethnicity, overall SMD",,,3412,5703,0.342
MRKR,  Ethnicity: Hispanic or Latino,73 (2.1%),166 (2.9%),3412,5703,
MRKR,  Ethnicity: Non-Hispanic or Latino,3128 (91.7%),4780 (83.8%),3412,5703,
MRKR,  Ethnicity: Unknown,211 (6.2%),757 (13.3%),3412,5703,
