"model","horizon_months","threshold","n","events_by_horizon","net_benefit_model","net_benefit_treat_all","net_benefit_treat_none"
"MRKR original OAI baseline",24,0.02,2363,855,0.306200177912892,0.348804269909403,0
"MRKR original OAI baseline",24,0.04,2363,855,0.223638736069968,0.335237692199182,0
"MRKR original OAI baseline",24,0.06,2363,855,0.153024013830237,0.321093813309803,0
"MRKR original OAI baseline",24,0.08,2363,855,0.096009126202874,0.306334983164364,0
"MRKR original OAI baseline",24,0.1,2363,855,0.0687450039968026,0.290920205012461,0
"MRKR original OAI baseline",24,0.12,2363,855,0.0383180086946486,0.27480475512638,0
"MRKR original OAI baseline",24,0.14,2363,855,0.0192994715035085,0.257939749431645,0
"MRKR original OAI baseline",24,0.16,2363,855,0.00630755899482095,0.240271648227636,0
"MRKR original OAI baseline",24,0.18,2363,855,0.00099088591393743,0.22174168842831,0
"MRKR original OAI baseline",24,0.2,2363,855,-0.000211595429538722,0.202285230639018,0
"MRKR original OAI baseline",24,0.22,2363,855,0,0.181831005783608,0
"MRKR original OAI baseline",24,0.24,2363,855,0,0.160300242777914,0
"MRKR original OAI baseline",24,0.26,2363,855,0,0.137605654744885,0
"MRKR original OAI baseline",24,0.28,2363,855,0,0.113650256265576,0
"MRKR original OAI baseline",24,0.3,2363,855,0,0.0883259778731636,0
"MRKR original OAI baseline",24,0.32,2363,855,0,0.0615120360459038,0
"MRKR original OAI baseline",24,0.34,2363,855,0,0.0330730068351736,0
"MRKR original OAI baseline",24,0.36,2363,855,0,0.00285653829877269,0
"MRKR original OAI baseline",24,0.38,2363,855,0,-0.0293093798206217,0
"MRKR original OAI baseline",24,0.4,2363,855,0,-0.063619692481309,0
"MRKR original OAI baseline",24,0.42,2363,855,0,-0.100296233601354,0
"MRKR original OAI baseline",24,0.44,2363,855,0,-0.139592527658545,0
"MRKR original OAI baseline",24,0.46,2363,855,0,-0.181799658312566,0
"MRKR original OAI baseline",24,0.48,2363,855,0,-0.227253491324587,0
"MRKR original OAI baseline",24,0.5,2363,855,0,-0.276343630977571,0
"MRKR slope+baseline recalibrated",24,0.02,2363,855,0.348804269909403,0.348804269909403,0
"MRKR slope+baseline recalibrated",24,0.04,2363,855,0.335237692199182,0.335237692199182,0
"MRKR slope+baseline recalibrated",24,0.06,2363,855,0.321057797066477,0.321093813309803,0
"MRKR slope+baseline recalibrated",24,0.08,2363,855,0.30585659349758,0.306334983164364,0
"MRKR slope+baseline recalibrated",24,0.1,2363,855,0.291954671556872,0.290920205012461,0
"MRKR slope+baseline recalibrated",24,0.12,2363,855,0.278324933635979,0.27480475512638,0
"MRKR slope+baseline recalibrated",24,0.14,2363,855,0.263431388951766,0.257939749431645,0
"MRKR slope+baseline recalibrated",24,0.16,2363,855,0.248816073191867,0.240271648227636,0
"MRKR slope+baseline recalibrated",24,0.18,2363,855,0.233787145319612,0.22174168842831,0
"MRKR slope+baseline recalibrated",24,0.2,2363,855,0.221540414727042,0.202285230639018,0
"MRKR slope+baseline recalibrated",24,0.22,2363,855,0.209848410864069,0.181831005783608,0
"MRKR slope+baseline recalibrated",24,0.24,2363,855,0.198253780876228,0.160300242777914,0
"MRKR slope+baseline recalibrated",24,0.26,2363,855,0.175795770378927,0.137605654744885,0
"MRKR slope+baseline recalibrated",24,0.28,2363,855,0.154300089340292,0.113650256265576,0
"MRKR slope+baseline recalibrated",24,0.3,2363,855,0.137053382504081,0.0883259778731636,0
"MRKR slope+baseline recalibrated",24,0.32,2363,855,0.120335565457668,0.0615120360459038,0
"MRKR slope+baseline recalibrated",24,0.34,2363,855,0.101617102040293,0.0330730068351736,0
"MRKR slope+baseline recalibrated",24,0.36,2363,855,0.0811468472280999,0.00285653829877269,0
"MRKR slope+baseline recalibrated",24,0.38,2363,855,0.0734440910269887,-0.0293093798206217,0
"MRKR slope+baseline recalibrated",24,0.4,2363,855,0.071801382423473,-0.063619692481309,0
"MRKR slope+baseline recalibrated",24,0.42,2363,855,0.0576415135639967,-0.100296233601354,0
"MRKR slope+baseline recalibrated",24,0.44,2363,855,0.0512060939483707,-0.139592527658545,0
"MRKR slope+baseline recalibrated",24,0.46,2363,855,0.0432595100390276,-0.181799658312566,0
"MRKR slope+baseline recalibrated",24,0.48,2363,855,0.0331390995800645,-0.227253491324587,0
"MRKR slope+baseline recalibrated",24,0.5,2363,855,0.0241218789674143,-0.276343630977571,0
