"cohort","model","outcome","horizon_months","n_knees","n_patients","total_events","events_by_horizon","censored_before_horizon","at_risk_at_horizon","c_index","auc_horizon","brier_horizon","mean_predicted_risk","observed_km_risk"
"OAI","Model F-core apparent","OAI KR/TKA after 24m landmark",12,3104,1656,566,45,14,3045,0.758636001209755,0.847296575917029,0.0144326401706188,0.0146026240902098,0.0145297757303385
"MRKR","Original OAI-derived Model F-core","Side-specific hardware-defined arthroplasty",12,3412,2179,1140,656,448,2308,0.681142533646572,0.699875763516084,0.214368265124971,0.0188836758141109,0.199657769488711
"MRKR","MRKR slope+baseline recalibrated Model F-core","Side-specific hardware-defined arthroplasty",12,3412,2179,1140,656,448,2308,0.681142533646572,0.699875763516084,0.167907147833311,0.199218607635955,0.199657769488711
"MRKR","MRKR offset-only baseline recalibration","Side-specific hardware-defined arthroplasty",12,3412,2179,1140,656,448,2308,0.681142533646572,0.699875763516084,0.461784279395153,0.667846364194938,0.199657769488711
"OAI","Model F-core apparent","OAI KR/TKA after 24m landmark",24,3104,1656,566,103,145,2856,0.758636001209755,0.820254476030826,0.0357016943821173,0.0341553210373902,0.0341444884989178
"MRKR","Original OAI-derived Model F-core","Side-specific hardware-defined arthroplasty",24,3412,2179,1140,855,1049,1508,0.681142533646572,0.708841345184358,0.328140215564585,0.0441181958494664,0.279831457357236
"MRKR","MRKR slope+baseline recalibrated Model F-core","Side-specific hardware-defined arthroplasty",24,3412,2179,1140,855,1049,1508,0.681142533646572,0.708841345184358,0.246005361919038,0.278240842621467,0.279831457357236
"MRKR","MRKR offset-only baseline recalibration","Side-specific hardware-defined arthroplasty",24,3412,2179,1140,855,1049,1508,0.681142533646572,0.708841345184358,0.616192397527825,0.760804548713859,0.279831457357236
"OAI","Model F-core apparent","OAI KR/TKA after 24m landmark",36,3104,1656,566,160,499,2445,0.758636001209755,0.791332470892626,0.0664541492923227,0.0550202445594458,0.0561483910391102
"MRKR","Original OAI-derived Model F-core","Side-specific hardware-defined arthroplasty",36,3412,2179,1140,935,1468,1009,0.681142533646572,0.723014792005639,0.407876942020808,0.0709684783457711,0.324894493847476
"MRKR","MRKR slope+baseline recalibrated Model F-core","Side-specific hardware-defined arthroplasty",36,3412,2179,1140,935,1468,1009,0.681142533646572,0.723014792005639,0.306176330134174,0.323184325314617,0.324894493847476
"MRKR","MRKR offset-only baseline recalibration","Side-specific hardware-defined arthroplasty",36,3412,2179,1140,935,1468,1009,0.681142533646572,0.723014792005639,0.735774712943692,0.800027605621781,0.324894493847476
"OAI","Model F-core apparent","OAI KR/TKA after 24m landmark",60,3104,1656,566,279,689,2136,0.758636001209755,0.780016358515804,0.115174028240251,0.100342390566955,0.105224638077545
"MRKR","Original OAI-derived Model F-core","Side-specific hardware-defined arthroplasty",60,3412,2179,1140,1045,1884,483,0.681142533646572,0.765680010302436,0.503481707005303,0.128933607878868,0.424602980476789
"MRKR","MRKR slope+baseline recalibrated Model F-core","Side-specific hardware-defined arthroplasty",60,3412,2179,1140,1045,1884,483,0.681142533646572,0.765680010302436,0.371905311431115,0.426935238421913,0.424602980476789
"MRKR","MRKR offset-only baseline recalibration","Side-specific hardware-defined arthroplasty",60,3412,2179,1140,1045,1884,483,0.681142533646572,0.765680010302436,0.849858060909395,0.868087055830309,0.424602980476789
