"term","chisq","df","p_value"
"age",19.915456409346,1,8.09432714884254e-06
"female",2.56505563651679,1,0.109248713945592
"bmi",0.0497094374258366,1,0.823569647604942
"side",1.40316023638993,1,0.236195159948684
"pain_0",4.55189568500772,1,0.0328823214084218
"function_0",2.86014043765531,1,0.0907995707549142
"stiffness_0",1.34415734796094,1,0.246302140086001
"pain_change",2.71049427567462,1,0.099690099047183
"function_change",8.00624621932085,1,0.00466162697911567
"kl_0",5.54674563432408,1,0.0185150807339376
"kl_change",4.56557464864618,1,0.0326207286871887
"jsn_medial_0",6.16135769981976,1,0.013057094892329
"jsn_medial_change",2.61929212897997,1,0.105571527031507
"jsn_lateral_0",0.350089932641414,1,0.554062225801156
"jsn_lateral_change",0.0348859647858523,1,0.85183481540002
"GLOBAL",53.7468504948124,15,2.89544034646009e-06
