group,knees,patients,events_by_horizon,mean_predicted_risk,observed_risk,observed_lower_95,observed_upper_95
1,307,213,1,0.007204910387514253,0.005494505494505475,0.0,0.016234109713053356
2,307,244,1,0.015073819186116678,0.003278688524590123,0.0,0.009694374581045447
3,306,259,10,0.034220687996069935,0.039483140539920414,0.015275749215189073,0.06369053186465176
4,307,270,9,0.04302628549085649,0.03187249721379537,0.011340264861198105,0.05240472956639264
5,306,261,9,0.05088546885368076,0.032990394605264095,0.011787756491251026,0.05419303271927717
6,307,264,21,0.06848698082744127,0.07548942459098706,0.04439961780593599,0.10657923137603814
7,306,274,24,0.09657747303600983,0.08720946288221998,0.053745967345072504,0.12067295841936745
8,307,280,29,0.1292433723026813,0.10860123684086243,0.07121871058906383,0.14598376309266103
9,306,278,55,0.19466609808076035,0.19635660751181094,0.14964576898894832,0.24306744603467356
10,307,282,114,0.3512577509449504,0.39379330930426104,0.33708056106330375,0.45050605754521833
