"subgroup","n_knees","n_patients","events_by_24m","auc_24m","lower_95","upper_95"
"All MRKR core",3412,2179,855,0.708841345184358,0.688084713213392,0.731742694521755
"OA enriched: baseline KL>=2",2670,1841,789,0.659509635221522,0.633812122100235,0.689037419699284
"OA enriched: knee OA ICD before landmark",3225,2063,847,0.689501615564823,0.667604204536982,0.714261477484065
"OA enriched: KL>=2 or OA ICD",3297,2119,855,0.693863946079334,0.67086265388061,0.717545764806678
"Pain-present at landmark",1969,1424,629,0.64979522238329,0.620782416647843,0.679069238456525
"High-quality landmark/pain window",2267,1490,598,0.693788448541771,0.665907549616387,0.721850424006394
"Female",2396,1513,574,0.705395988322818,0.672835556952856,0.731283100381876
"Male",1016,666,281,0.714967184677838,0.672418173038895,0.758659163700501
"Age <60 years",1143,723,214,0.741201810747664,0.699777784785092,0.779138872805205
"Age 60-69 years",1124,717,339,0.694972830305853,0.65745652408193,0.734300114364274
"Age >=70 years",1145,739,302,0.675641601576652,0.632078806875426,0.715563813043363
"Baseline KL 0-1",742,568,66,0.645355251544572,0.565924992535662,0.711363642815538
"Baseline KL 2",1227,977,232,0.673382453628781,0.632466338722326,0.720777514930861
"Baseline KL 3-4",1443,1092,557,0.570523097511047,0.531976174092983,0.605007782335907
"Race: Caucasian or White",1830,1189,493,0.7275432886609,0.696723552794503,0.762736833943243
"Race: African American or Black",1334,833,302,0.689397075055188,0.646295362229403,0.722623744718841
"Race: Asian",138,83,34,0.660322952710496,0.529301784816491,0.812442451489309
"Race: Unknown",85,57,17,0.71875,0.526739405439595,0.866436887254902
