Characteristic,CHECK early-transition cohort,OAI early bridge subgroup,OAI model cohort,MRKR 24-month cohort,MRKR 36-month cohort
"Knees, n","1,598",775,"2,415","2,363","1,944"
"Participants/patients, n",853,484,"1,310","1,588","1,359"
"Age, mean (SD), years",55.8 (5.2),61.5 (10.0),62.5 (9.0),63.8 (11.3),63.8 (11.3)
"Female sex, n (%)","1,256 (78.6%)",438 (56.5%),"1,472 (61.0%)","1,684 (71.3%)",Not separately summarized
"BMI, mean (SD), kg/m2",26.1 (4.0),27.8 (4.6),Not included in transport index,Not available,Not available
Pain score,CHECK WOMAC pain 0-20: 4.9 (3.4),Harmonized 0-10: 2.1 (3.0),Harmonized 0-10: 1.5 (1.8),Harmonized 0-10: 3.3 (3.4),Harmonized 0-10: 3.3 (3.4)
Function score,15.5 (11.6),6.9 (9.6),Not included in transport index,Not available,Not available
KL time point,Baseline,Baseline bridge analysis,24-month landmark,Index radiograph,Index radiograph
Primary outcome,Incident KL >=2,Incident KL >=2 / bridge state,Target-knee TKA/KR,Hardware arthroplasty,Hardware arthroplasty
"Events, n (%)",185 (11.6%) at 24 m,49 (6.3%) at 24 m,279 (11.6%) at 60 m,855 (36.2%),935 (48.1%)
